Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1539432,3592768,7088316,5308456,2022-12-26,21:35:40,280,1546925.146101536,-2748.651588850874,-4744.494512685109,0.0
1546648,3585536,7088316,5301240,2022-12-26,21:35:45,285,1546949.393507698,1794.450788026015,-2095.8442957240622,0.0
1552568,3579600,7088316,5295332,2022-12-26,21:35:50,290,1546973.6366912557,5097.416108928942,496.94719981541857,0.0
1555552,3576604,7088316,5292336,2022-12-26,21:35:55,295,1546997.8756631326,6890.161398069293,1663.9629387981258,0.0
1557648,3574492,7088316,5290236,2022-12-26,21:36:00,300,1547022.110434764,8758.82186593782,1867.0676992980298,0.0
1558164,3573964,7088316,5289732,2022-12-26,21:36:05,305,1547046.3410174188,8580.715995746637,2536.9429868345615,0.0
1560580,3571528,7088316,5287304,2022-12-26,21:36:10,310,1547070.5674223262,10537.998678186997,2971.433899486903,0.0
1561004,3571092,7088316,5286884,2022-12-26,21:36:15,315,1547094.7896607574,10369.103360313498,3540.106978929136,0.0
1563296,3568788,7088316,5284592,2022-12-26,21:36:20,320,1547119.0077440015,11968.467741314978,4208.524514683522,0.0
1564596,3567472,7088316,5283304,2022-12-26,21:36:25,325,1547143.2216833062,13038.667211831462,4414.111104862299,0.0
1564384,3567676,7088316,5283516,2022-12-26,21:36:30,330,1547167.431489872,12852.214775632785,4364.353734495118,0.0
1563280,3568760,7088316,5284620,2022-12-26,21:36:35,335,1547191.6371750182,11377.599931799745,4710.762893181993,0.0
1563216,3568812,7088316,5284676,2022-12-26,21:36:40,340,1547215.8387499081,11550.52982457558,4449.631425516214,0.0
1562880,3569132,7088316,5285012,2022-12-26,21:36:45,345,1547240.0362258432,10980.531120545453,4659.432653611293,0.0
1564504,3567496,7088316,5283392,2022-12-26,21:36:50,350,1547264.2296139726,12425.1349206282,4814.635465399129,0.0
1563056,3568928,7088316,5284836,2022-12-26,21:36:55,355,1547288.418925548,12109.298649504424,3658.2824249477126,0.0
1563660,3568312,7088316,5284236,2022-12-26,21:37:00,360,1547312.6041717362,11667.529659017868,4679.866169245914,0.0
1564564,3567388,7088316,5283328,2022-12-26,21:37:05,365,1547336.785363783,12600.45433750413,4626.760298712878,0.0
1564952,3566988,7088316,5282940,2022-12-26,21:37:10,370,1547360.96251286,12468.207467842756,5122.830019297078,0.0
1563700,3568228,7088316,5284196,2022-12-26,21:37:15,375,1547385.1356301499,11960.265173339945,4354.599196510157,0.0
1562664,3569248,7088316,5285284,2022-12-26,21:37:20,380,1547409.304726832,12101.626904398792,3153.068368769018,0.0
1562932,3568968,7088316,5285028,2022-12-26,21:37:25,385,1547433.4698140381,12493.529231005532,3005.000954956282,0.0
1563980,3567904,7088316,5283980,2022-12-26,21:37:31,390,1547457.6309029872,12623.242793924108,3899.1263030886184,0.0
1564744,3567128,7088316,5283220,2022-12-26,21:37:36,395,1547481.7880048037,12949.16830792843,4313.043687267927,0.0
1563004,3568856,7088316,5284948,2022-12-26,21:37:41,400,1547505.9411306793,11772.371038441466,3725.68783087912,0.0
1564604,3567244,7088316,5283352,2022-12-26,21:37:46,405,1547530.0902917164,13188.535811860784,3885.373896422796,0.0
1565560,3566272,7088316,5282404,2022-12-26,21:37:51,410,1547554.2354990821,12184.28588107315,5821.478619844653,0.0
1565076,3566740,7088316,5282888,2022-12-26,21:37:56,415,1547578.3767639091,12240.682474192412,5256.940761898411,0.0
1564944,3566856,7088316,5283092,2022-12-26,21:38:01,420,1547602.5140973616,12894.1573601185,4447.328542519826,0.0
1566120,3565664,7088316,5281928,2022-12-26,21:38:06,425,1547626.6475105318,12565.441386470526,5927.911102997605,0.0
1565980,3565792,7088316,5282068,2022-12-26,21:38:11,430,1547650.7770145135,13235.819342336436,5093.403643150115,0.0
1567848,3563908,7088316,5280196,2022-12-26,21:38:16,435,1547674.9026204257,14780.705194050277,5392.392185524106,0.0
1567432,3564312,7088316,5280616,2022-12-26,21:38:21,440,1547699.0243393723,13842.713345455562,5890.262315172236,0.0
1569856,3561872,7088316,5278192,2022-12-26,21:38:26,445,1547723.142182407,15425.059899988028,6707.797917604912,0.0
1569420,3562292,7088316,5278624,2022-12-26,21:38:31,450,1547747.256160607,15352.791169499465,6319.952669893391,0.0
1568588,3563116,7088316,5279392,2022-12-26,21:38:36,455,1547771.3662850484,14478.119523093334,6338.514191858238,0.0
1569088,3562600,7088316,5278892,2022-12-26,21:38:41,460,1547795.4725667182,15009.87744849086,6282.649984790944,0.0
1569380,3562296,7088316,5278616,2022-12-26,21:38:46,465,1547819.57501669,15733.3743543788,5827.050628931262,0.0
1569356,3562304,7088316,5278608,2022-12-26,21:38:51,470,1547843.6736459788,14862.743486837891,6649.582867183257,0.0
1570680,3560964,7088316,5277292,2022-12-26,21:38:56,475,1547867.7684655515,15889.723492746763,6922.508041701745,0.0
1569980,3561648,7088316,5278000,2022-12-26,21:39:01,480,1547891.8594864358,15956.831716458259,6131.308797105914,0.0
1569460,3562156,7088316,5278528,2022-12-26,21:39:06,485,1547915.946719556,15459.52979374451,6084.523486699443,0.0
1569812,3561792,7088316,5278184,2022-12-26,21:39:11,490,1547940.0301759217,15283.467264192599,6588.5025598856155,0.0
1570924,3560664,7088316,5276992,2022-12-26,21:39:16,495,1547964.109866414,15950.49900968444,7009.391123901587,0.0
1571152,3560424,7088316,5276764,2022-12-26,21:39:21,500,1547988.1858020672,16046.848805111886,7116.965392821003,0.0
1569876,3561684,7088316,5278036,2022-12-26,21:39:26,505,1548012.2579937198,16361.244840863385,5502.497165416833,0.0
1571248,3560300,7088316,5276672,2022-12-26,21:39:31,510,1548036.3264522783,16689.33015318504,6522.343394536758,0.0
1571184,3560348,7088316,5276736,2022-12-26,21:39:36,515,1548060.391188669,16000.878679207835,7122.730132123223,0.0
1570564,3560956,7088316,5277364,2022-12-26,21:39:41,520,1548084.4522137297,16935.66998338712,5543.877802883042,0.0
1573208,3558296,7088316,5274720,2022-12-26,21:39:46,525,1548108.5095383478,17823.887774288723,7275.602687363513,0.0
1571112,3560380,7088316,5276812,2022-12-26,21:39:51,530,1548132.5631733604,15773.898344992458,7205.538481647149,0.0
1569724,3561756,7088316,5278200,2022-12-26,21:39:56,535,1548156.6131295871,16021.783079223895,5545.603791188914,0.0
1571536,3559924,7088316,5276384,2022-12-26,21:40:01,540,1548180.6594178719,16358.138764939356,6997.201817188878,0.0
1572184,3559268,7088316,5275736,2022-12-26,21:40:06,545,1548204.7020490225,16562.90638075451,7416.39157022303,0.0
1572236,3559204,7088316,5275684,2022-12-26,21:40:11,550,1548228.7410338374,17095.63294571401,6911.626020448515,0.0
1570656,3560768,7088316,5277264,2022-12-26,21:40:17,555,1548252.776383034,15916.039173402416,6487.184443563689,0.0
1570372,3561036,7088316,5277544,2022-12-26,21:40:22,560,1548276.8081074448,15759.389609401132,6335.802283154102,0.0
1570840,3560552,7088316,5277080,2022-12-26,21:40:27,565,1548300.8362177452,16312.935673336498,6226.228108918294,0.0
1570924,3560452,7088316,5276996,2022-12-26,21:40:32,570,1548324.8607247283,16710.346438454926,5888.792836816749,0.0
1569284,3562080,7088316,5278640,2022-12-26,21:40:37,575,1548348.8816390953,14670.043368708592,6265.074992196169,0.0
1570776,3560576,7088316,5277152,2022-12-26,21:40:42,580,1548372.8989715397,16440.863758108415,5962.237270351965,0.0
1570872,3560464,7088316,5277056,2022-12-26,21:40:47,585,1548396.9127327467,15946.398033628237,6528.689233625075,0.0
1571504,3559820,7088316,5276428,2022-12-26,21:40:52,590,1548420.922933459,15696.942561868826,7386.13450467214,0.0
1572384,3558924,7088316,5275548,2022-12-26,21:40:57,595,1548444.9295842554,16903.664254393574,7035.406161350897,0.0
1572540,3558756,7088316,5275396,2022-12-26,21:41:02,600,1548468.9326958524,17424.66660061424,6646.40070353332,1.0
1571708,3559568,7088316,5276224,2022-12-26,21:41:07,605,1548492.9322789079,16442.395643550633,6772.672077541472,1.0
1570804,3560456,7088316,5277128,2022-12-26,21:41:12,610,1548516.9283439876,15702.011844816701,6585.059811195824,1.0
1572800,3558444,7088316,5275132,2022-12-26,21:41:17,615,1548540.9209017125,17420.40562777758,6838.673470509937,1.0
1571528,3559704,7088316,5276404,2022-12-26,21:41:22,620,1548564.9099626888,16008.307392117908,6954.782645193394,1.0
1572136,3559084,7088316,5275796,2022-12-26,21:41:27,625,1548588.89553749,16411.004058534003,7136.100403975928,1.0
1573624,3557580,7088316,5274316,2022-12-26,21:41:32,630,1548612.8776367018,18319.13443646649,6691.987926831702,1.0
1572432,3558760,7088316,5275512,2022-12-26,21:41:37,635,1548636.8562708187,17067.21985240702,6727.9238767742645,1.0
1573536,3557640,7088316,5274408,2022-12-26,21:41:42,640,1548660.8314504202,18198.2226084646,6676.945941115264,1.0
1572372,3558792,7088316,5275572,2022-12-26,21:41:47,645,1548684.803186017,16660.99883754425,7026.197976438561,1.0
1571404,3559728,7088316,5276632,2022-12-26,21:41:52,650,1548708.7714881173,16692.785040455223,6002.443471427541,1.0
1572696,3558428,7088316,5275344,2022-12-26,21:41:57,655,1548732.7363672021,17765.763041227576,6197.500591570279,1.0
1573244,3557860,7088316,5274796,2022-12-26,21:42:02,660,1548756.6978337406,17532.246085548715,6955.0560807106085,1.0
1573512,3557564,7088316,5274520,2022-12-26,21:42:07,665,1548780.6558982339,18014.4204804355,6716.923621330643,1.0
1572608,3558456,7088316,5275424,2022-12-26,21:42:12,670,1548804.6105711085,16772.138347834534,7031.251081056893,1.0
1573544,3557504,7088316,5274488,2022-12-26,21:42:17,675,1548828.5618627758,17102.5363837791,7612.901753445156,1.0
1573324,3557712,7088316,5274712,2022-12-26,21:42:22,680,1548852.5097837015,16870.604593130738,7600.885623167735,1.0
1572544,3558476,7088316,5275488,2022-12-26,21:42:27,685,1548876.4543442565,17048.205829454822,6619.339826288633,1.0
1574104,3556904,7088316,5273928,2022-12-26,21:42:32,690,1548900.3955548808,18853.289893012992,6350.314552106196,1.0
1572924,3558064,7088316,5275104,2022-12-26,21:42:37,695,1548924.3334258592,17193.69994278936,6805.9666313515045,1.0
1573764,3557212,7088316,5274272,2022-12-26,21:42:42,700,1548948.2679676085,17641.408303680266,7174.3237287111115,1.0
1572324,3558636,7088316,5275712,2022-12-26,21:42:47,705,1548972.1991904795,16584.054578953783,6767.746230566641,1.0
1572784,3558160,7088316,5275256,2022-12-26,21:42:52,710,1548996.1271047448,16565.56511362158,7222.307781633688,1.0
1571448,3559484,7088316,5276596,2022-12-26,21:42:57,715,1549020.0517207636,16410.162954973443,6017.785324262921,1.0
1572140,3558776,7088316,5275904,2022-12-26,21:43:03,720,1549043.973048866,16348.933026469964,6747.093924663961,1.0
1572872,3558036,7088316,5275172,2022-12-26,21:43:08,725,1549067.8910992586,16938.96357675952,6865.145323981997,1.0
1572644,3558240,7088316,5275400,2022-12-26,21:43:13,730,1549091.805882227,16506.119562651616,7046.074555121362,1.0
1571524,3559352,7088316,5276520,2022-12-26,21:43:18,735,1549115.7174081162,16542.25978938329,5866.02280250052,1.0
1570068,3560792,7088316,5277972,2022-12-26,21:43:23,740,1549139.6256870527,15051.356374169067,5877.01793877827,1.0
1572820,3558028,7088316,5275212,2022-12-26,21:43:28,745,1549163.5307293395,17688.177864770816,5968.291405889671,1.0
1572664,3558172,7088316,5275368,2022-12-26,21:43:33,750,1549187.4325451676,17995.40145129265,5481.166003539693,1.0
1571052,3559768,7088316,5276980,2022-12-26,21:43:38,755,1549211.3311447594,16061.256577686652,5779.412277553929,1.0
1572320,3558484,7088316,5275764,2022-12-26,21:43:43,760,1549235.2265382793,16954.758200661956,6130.015261058696,1.0
1573184,3557604,7088316,5274900,2022-12-26,21:43:48,765,1549259.1187359726,17773.799752244056,6151.081511783414,1.0
1573248,3557528,7088316,5274836,2022-12-26,21:43:53,770,1549283.0077479281,18023.887433484648,5941.104818587191,1.0
1573668,3557092,7088316,5274416,2022-12-26,21:43:58,775,1549306.893584356,17607.3025267826,6753.803888861556,1.0
