Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1485804,3644748,7088316,5361416,2022-12-24,20:59:24,660,1480000.1771650726,5940.455991850087,-136.63315692264587,1.0
1485296,3645240,7088316,5361924,2022-12-24,20:59:29,665,1480038.2135463778,4591.094098350421,666.6923552716617,1.0
1487600,3642920,7088316,5359620,2022-12-24,20:59:34,670,1480076.2431950506,6295.187558419319,1228.5692465300672,1.0
1487120,3643388,7088316,5360100,2022-12-24,20:59:39,675,1480114.2661116922,6184.670884460094,821.0630038476083,1.0
1487048,3643444,7088316,5360168,2022-12-24,20:59:44,680,1480152.2822969675,5925.710385894539,970.0073171379045,1.0
1488352,3642128,7088316,5358868,2022-12-24,20:59:49,685,1480190.2917514578,8142.365456446766,19.34279209538363,1.0
1487852,3642612,7088316,5359364,2022-12-24,20:59:54,690,1480228.29447586,6568.916602683601,1054.7889214565512,1.0
1488152,3642300,7088316,5359052,2022-12-24,21:00:00,695,1480266.2904706784,7755.130606093337,130.5789232281968,1.0
1490304,3640112,7088316,5356900,2022-12-24,21:00:05,700,1480304.279736612,9127.19159102913,872.5286723589525,1.0
1491780,3638620,7088316,5355424,2022-12-24,21:00:10,705,1480342.2622742087,9122.846462073328,2314.8912637180183,1.0
1491476,3638912,7088316,5355728,2022-12-24,21:00:15,710,1480380.2380840823,8470.531230160632,2625.2306857570074,1.0
1490932,3639440,7088316,5356272,2022-12-24,21:00:20,715,1480418.207166828,8549.24270296928,1964.5501302026678,1.0
1491384,3638976,7088316,5355820,2022-12-24,21:00:25,720,1480456.1695230503,8481.259103017772,2446.5713739318307,1.0
1493344,3637000,7088316,5353860,2022-12-24,21:00:30,725,1480494.1251532673,9745.623850609729,3104.250996123068,1.0
1492584,3637740,7088316,5354604,2022-12-24,21:00:35,730,1480532.0740580256,8621.301449809565,3430.624492164934,1.0
1492852,3637464,7088316,5354348,2022-12-24,21:00:40,735,1480570.016237985,9104.881126882296,3177.1026351326145,1.0
1492700,3637600,7088316,5354500,2022-12-24,21:00:45,740,1480607.9516935414,9800.262978950032,2291.78532750858,1.0
1490400,3639888,7088316,5356804,2022-12-24,21:00:50,745,1480645.8804253072,8041.810935198594,1712.3086394942366,1.0
1491428,3638844,7088316,5355764,2022-12-24,21:00:55,750,1480683.802433754,7905.767877769588,2838.429688476259,1.0
1492008,3638248,7088316,5355192,2022-12-24,21:01:00,755,1480721.717719386,8971.989331212577,2314.292949401308,1.0
1491924,3638316,7088316,5355264,2022-12-24,21:01:05,760,1480759.6262827045,8706.601786872843,2457.771930422634,1.0
1492652,3637576,7088316,5354544,2022-12-24,21:01:10,765,1480797.5281242034,9222.341423621787,2632.1304521746933,1.0
1491832,3638376,7088316,5355360,2022-12-24,21:01:15,770,1480835.4232443091,8977.920951874265,2018.6558038166258,1.0
1490108,3640084,7088316,5357088,2022-12-24,21:01:20,775,1480873.3116435134,6787.109570752764,2447.5787857337855,1.0
1491496,3638684,7088316,5355688,2022-12-24,21:01:25,780,1480911.193322264,8095.185889240647,2489.620788495522,1.0
1488152,3642012,7088316,5359044,2022-12-24,21:01:30,785,1480949.0682810093,6673.050598867814,529.8811201229692,1.0
1489252,3640900,7088316,5357944,2022-12-24,21:01:35,790,1480986.9365201653,6338.883146330917,1926.1803335037548,1.0
1491536,3638600,7088316,5355660,2022-12-24,21:01:40,795,1481024.7980401495,8816.29524167668,1694.9067181737628,1.0
1489360,3640748,7088316,5357828,2022-12-24,21:01:45,800,1481062.6528414022,6881.5790597704345,1415.7680988274515,1.0
1489556,3640536,7088316,5357632,2022-12-24,21:01:50,805,1481100.5009243314,7943.497300782708,512.0017748859245,1.0
1489516,3640564,7088316,5357672,2022-12-24,21:01:55,810,1481138.342289324,7775.588464670916,602.0692460052669,1.0
1488700,3641364,7088316,5358488,2022-12-24,21:02:00,815,1481176.1769367973,6974.286911753636,549.5361514489632,1.0
1490216,3639836,7088316,5356972,2022-12-24,21:02:05,820,1481214.004867126,7134.11239393385,1867.882738940185,1.0
1487872,3642168,7088316,5359324,2022-12-24,21:02:10,825,1481251.826080706,5999.1432541217,621.030665172264,1.0
1489232,3640792,7088316,5357952,2022-12-24,21:02:15,830,1481289.6405779487,6985.216694737634,957.1427273137961,1.0
1490420,3639604,7088316,5356776,2022-12-24,21:02:21,835,1481327.4483592282,7284.617108404147,1807.9345323676243,1.0
1489808,3640200,7088316,5357388,2022-12-24,21:02:26,840,1481365.2494248853,7088.832541264946,1353.9180338496808,1.0
1490880,3639120,7088316,5356316,2022-12-24,21:02:31,845,1481403.0437752972,8759.824918818935,717.1313058838714,1.0
1489552,3640428,7088316,5357644,2022-12-24,21:02:36,850,1481440.8314108362,7330.0849109598985,781.0836782038677,1.0
1490440,3639528,7088316,5356756,2022-12-24,21:02:41,855,1481478.6123318651,7236.779595927819,1724.6080722070765,1.0
1492056,3637896,7088316,5355140,2022-12-24,21:02:46,860,1481516.3865387216,9133.611453108058,1406.002008170355,1.0
1489756,3640184,7088316,5357440,2022-12-24,21:02:51,865,1481554.1540317712,6676.984493600544,1524.8614746283274,1.0
1492520,3637408,7088316,5354676,2022-12-24,21:02:56,870,1481591.9148113213,8771.362552620818,2156.7226360579953,1.0
1492608,3637304,7088316,5354592,2022-12-24,21:03:01,875,1481629.6688777148,9086.320940404392,1892.0101818807889,1.0
1491624,3638276,7088316,5355572,2022-12-24,21:03:06,880,1481667.4162312772,8575.705294183665,1380.8784745391458,1.0
1489956,3639928,7088316,5357240,2022-12-24,21:03:11,885,1481705.1568723281,7833.485084860991,417.35804281081073,1.0
1492700,3637172,7088316,5354496,2022-12-24,21:03:16,890,1481742.890801153,8350.080716815797,2607.02848203131,1.0
1491804,3638052,7088316,5355392,2022-12-24,21:03:21,895,1481780.6180180707,9101.086550929684,922.2954309997149,1.0
1492672,3637168,7088316,5354524,2022-12-24,21:03:26,900,1481818.3385233812,8534.008776956334,2319.6526996626053,1.0
1492496,3637332,7088316,5354704,2022-12-24,21:03:31,905,1481856.052317352,9104.80232698911,1535.1453556588385,1.0
1492024,3637792,7088316,5355172,2022-12-24,21:03:36,910,1481893.7594002949,9162.9096210848,967.3309786203317,1.0
1491060,3638740,7088316,5356132,2022-12-24,21:03:41,915,1481931.459772477,7582.042575732344,1546.4976517907344,1.0
1491980,3637804,7088316,5355212,2022-12-24,21:03:46,920,1481969.1534341138,9100.963475475466,909.8830904106144,1.0
1491928,3637844,7088316,5355180,2022-12-24,21:03:51,925,1482006.8403855432,8349.160813893728,1571.9988005631603,1.0
1490644,3639116,7088316,5356464,2022-12-24,21:03:56,930,1482044.5206269943,7921.19755911894,678.2818138867151,1.0
1490068,3639676,7088316,5357040,2022-12-24,21:04:01,935,1482082.1941586656,7326.229725502837,659.5761158314999,1.0
1489136,3640584,7088316,5357972,2022-12-24,21:04:06,940,1482119.8609808944,7490.024968451488,-473.88594934600405,1.0
1487812,3641896,7088316,5359296,2022-12-24,21:04:11,945,1482157.521093863,6072.833281604444,-418.35437546740286,1.0
1488192,3641500,7088316,5358916,2022-12-24,21:04:16,950,1482195.1744978654,6515.31561307347,-518.490110938903,1.0
1488028,3641636,7088316,5359072,2022-12-24,21:04:21,955,1482232.8211930755,8223.25330369044,-2428.074496765854,1.0
1488384,3641272,7088316,5358712,2022-12-24,21:04:26,960,1482270.4611797659,8110.685678957744,-1997.1468587236013,1.0
1489360,3640276,7088316,5357736,2022-12-24,21:04:32,965,1482308.0944582,7975.554853556843,-923.649311756948,1.0
1488912,3640712,7088316,5358192,2022-12-24,21:04:37,970,1482345.7210286362,7487.480128532052,-921.2011571682524,1.0
1488836,3640772,7088316,5358264,2022-12-24,21:04:42,975,1482383.3408912972,7182.763180733931,-730.1040720310993,1.0
1489108,3640484,7088316,5357992,2022-12-24,21:04:47,980,1482420.9540464634,9938.858478232049,-3251.812524695415,1.0
1489740,3639836,7088316,5357360,2022-12-24,21:04:52,985,1482458.5604943894,9404.327207384971,-2122.887701774249,1.0
1490236,3639328,7088316,5356868,2022-12-24,21:04:57,990,1482496.1602353351,9131.42192752182,-1391.5821628570557,1.0
1492480,3637056,7088316,5354624,2022-12-24,21:05:02,995,1482533.7532695788,11254.615981107545,-1308.3692506863736,1.0
1491488,3638012,7088316,5355624,2022-12-24,21:05:07,1000,1482571.3395973998,10279.405522944444,-1362.7451203442179,1.0
1493720,3635772,7088316,5353392,2022-12-24,21:05:12,1005,1482608.9192190473,11939.021608847122,-827.9408278944902,1.0
