Mem_used,Mem_free,Mem_total,Mem_Disp,Date,Time,Elapsed_time,trend,seasonal,residual,Aging_Label
1402872,3344340,7088316,5439108,2022-12-22,14:45:51,515,1399938.0894951215,6380.265421845209,-3446.354916966753,0.0
1402412,3344780,7088316,5439560,2022-12-22,14:45:57,520,1399946.3047634817,5701.898466489695,-3236.203229971463,0.0
1403256,3343908,7088316,5438716,2022-12-22,14:46:02,525,1399954.5176928947,6289.889289850418,-2988.406982745044,0.0
1403780,3343372,7088316,5438192,2022-12-22,14:46:07,530,1399962.7282848242,6639.440914116705,-2822.1691989409737,0.0
1404760,3342376,7088316,5437212,2022-12-22,14:46:12,535,1399970.9365407403,7062.886967570724,-2273.823508311063,0.0
1406252,3340872,7088316,5435720,2022-12-22,14:46:17,540,1399979.1424622007,7920.172364908555,-1647.3148271092214,0.0
1407552,3339556,7088316,5434400,2022-12-22,14:46:22,545,1399987.3460506918,8838.269513796082,-1273.6155644878745,0.0
1408804,3338292,7088316,5433148,2022-12-22,14:46:27,550,1399995.5473077428,9900.006402279803,-1091.5537100224756,0.0
1409140,3337940,7088316,5432808,2022-12-22,14:46:32,555,1400003.7462348593,10465.96046043669,-1329.7066952961031,0.0
1407624,3339444,7088316,5434328,2022-12-22,14:46:37,560,1400011.9428335736,9567.239755255845,-1955.182588829426,0.0
1406332,3340720,7088316,5435616,2022-12-22,14:46:42,565,1400020.137105424,8069.145903145258,-1757.283008569153,0.0
1405668,3341372,7088316,5436284,2022-12-22,14:46:47,570,1400028.329051965,8143.077413749329,-2503.4064657143317,0.0
1406488,3340540,7088316,5435464,2022-12-22,14:46:52,575,1400036.5186747524,8527.873019231161,-2076.3916939836927,0.0
1401712,3345296,7088316,5440236,2022-12-22,14:46:57,580,1400044.70597531,5516.013544833059,-3848.7195201430004,0.0
1402564,3344432,7088316,5439384,2022-12-22,14:47:02,585,1400052.8909552488,6130.160367864342,-3619.0513231132645,0.0
1403788,3343192,7088316,5438160,2022-12-22,14:47:07,590,1400061.0736161387,6673.992570335452,-2947.0661864741705,0.0
1403060,3343896,7088316,5438896,2022-12-22,14:47:12,595,1400069.2539595556,5601.346325394974,-2610.600284950575,0.0
1402820,3344132,7088316,5439124,2022-12-22,14:47:17,600,1400077.4319871191,6235.8164805519,-3493.2484676709864,1.0
1403712,3343228,7088316,5438236,2022-12-22,14:47:22,605,1400085.607700498,6884.818306415146,-3258.426006913185,1.0
1403308,3343616,7088316,5438640,2022-12-22,14:47:27,610,1400093.781101253,6811.470260156733,-3597.251361409668,1.0
1403320,3343592,7088316,5438628,2022-12-22,14:47:32,615,1400101.952191055,6480.655796701972,-3262.6079877570737,1.0
1403892,3343012,7088316,5438056,2022-12-22,14:47:37,620,1400110.1209715449,6527.747562777797,-2745.868534322595,1.0
1404116,3342768,7088316,5437832,2022-12-22,14:47:42,625,1400118.2874444122,6811.1601636351525,-2813.447608047398,1.0
1404244,3342612,7088316,5437696,2022-12-22,14:47:47,630,1400126.4516113366,6485.363413949157,-2367.8150252858177,1.0
1404600,3342240,7088316,5437340,2022-12-22,14:47:52,635,1400134.613473978,6330.393511765666,-1865.00698574353,1.0
1405524,3341304,7088316,5436416,2022-12-22,14:47:57,640,1400142.7730340776,6990.108292495679,-1608.8813265732024,1.0
1405712,3341100,7088316,5436228,2022-12-22,14:48:02,645,1400150.9302933146,6658.549209405828,-1097.4795027205255,1.0
1406256,3340540,7088316,5435680,2022-12-22,14:48:07,650,1400159.0852534238,7367.01231889451,-1270.0975723182783,1.0
1405984,3340796,7088316,5435952,2022-12-22,14:48:12,655,1400167.2379160987,6817.801127002359,-1001.0390431010164,1.0
1404984,3341784,7088316,5436952,2022-12-22,14:48:17,660,1400175.3882830762,6414.4658128558995,-1605.8540959320962,1.0
1404412,3342344,7088316,5437524,2022-12-22,14:48:22,665,1400183.5363561097,5610.720776805655,-1382.2571329153143,1.0
1403792,3342948,7088316,5438144,2022-12-22,14:48:28,670,1400191.6821369196,5251.327967773716,-1651.0101046932396,1.0
1404460,3342268,7088316,5437476,2022-12-22,14:48:33,675,1400199.8256272336,5350.462577752364,-1090.2882049859036,1.0
1406456,3340252,7088316,5435480,2022-12-22,14:48:38,680,1400207.9668288268,6016.897367965203,231.13580320798792,1.0
1407576,3339120,7088316,5434360,2022-12-22,14:48:43,685,1400216.10574343,6921.993893777753,437.900362792192,1.0
